===============================================================================================

WORD: boondoggle.n.01 (['Ġbo', 'ond', 'oggle']),     Number of Definitions: 7


True Definition:
work of little or no value done merely to look busy

Prediction Rank Score: 0.50

Definitions (True=1):

1) work of little or no value done merely to look busy (boondoggle)
Prediction Prob: 5.8831803207880486e-06, Prediction Rank: 4

2) excessive spending (extravagance)
Prediction Prob: 2.67364272618093e-05, Prediction Rank: 1

3) spending resources lavishly and wastefully (squandering)
Prediction Prob: 2.5641312986204683e-05, Prediction Rank: 2

4) a useless effort (waste of effort)
Prediction Prob: 3.4532377775760586e-06, Prediction Rank: 6

5) a useless consumption of material (waste of material)
Prediction Prob: 3.940614538816859e-06, Prediction Rank: 5

6) money spent for inadequate return (waste of money)
Prediction Prob: 2.4220295570465196e-05, Prediction Rank: 3

7) the devotion of time to a useless activity (waste of time)
Prediction Prob: 1.3544249988977996e-06, Prediction Rank: 7


=====================================================
Rank Scores one shot (correct def pairs):

0) RS: 1.00	Context: work of little or no value done merely to look busy is the definition of boondoggle. 
------------------------------------------------------------
1) RS: 0.50	Context: plants closely allied to the genera Satureja and Calamintha is the definition of acinos. . 
2) RS: 0.50	Context: a trivalent metallic element of the rare earth group; usually occurs in association with yttrium is the definition of lutetium. . 
3) RS: 0.50	Context: the quality of being holy is the definition of holiness. . 
4) RS: 0.50	Context: male salmon that has recently spawned is the definition of redfish. . 
5) RS: 0.33	Context: a dance involving a rhythmical stamping step is the definition of stomp. . 
6) RS: 0.33	Context: a truck equipped with a loudspeaker and used for advertising is the definition of sound truck. . 
7) RS: 0.33	Context: a military vehicle (usually armored) for transporting military personnel and their equipment is the definition of personnel carrier. . 
8) RS: 0.33	Context: octopuses and paper nautilus is the definition of octopoda. . 
9) RS: 0.17	Context: an Australian sheepdog with pointed ears is the definition of kelpie. . 
10) RS: 0.17	Context: (medicine) any disturbance in the functioning of an organ or body part or a disturbance in the functioning of a social group is the definition of dysfunction. . 


Rank Scores one shot (incorrect def pairs):


------------------------------------------------------------
1) RS: 0.67	Context: a wildflower of the genus Ratibida is the definition of holiness. . 
2) RS: 0.50	Context: speedy largely terrestrial bird found from California and Mexico to Texas is the definition of dysfunction. . 
3) RS: 0.50	Context: oily egg-shaped nut of an American tree of the walnut family is the definition of sound truck. . 
4) RS: 0.50	Context: small active carnivore that probably fed on protoceratops; possibly related more closely to birds than to other dinosaurs is the definition of lutetium. . 
5) RS: 0.50	Context: a trivalent metallic element of the rare earth group; usually occurs in association with yttrium is the definition of velociraptor. . 
6) RS: 0.50	Context: plants closely allied to the genera Satureja and Calamintha is the definition of filling. . 
7) RS: 0.50	Context: a radioactive element of the actinide series; found in uranium ores is the definition of kelpie. . 
8) RS: 0.50	Context: an Australian sheepdog with pointed ears is the definition of actinium. . 
9) RS: 0.33	Context: octopuses and paper nautilus is the definition of oil filter. . 
10) RS: 0.33	Context: a military vehicle (usually armored) for transporting military personnel and their equipment is the definition of rhinoscopy. . 
11) RS: 0.33	Context: examination of the nasal passages (either through the anterior nares or with a rhinoscope through the nasopharynx) is the definition of personnel carrier. . 
12) RS: 0.33	Context: a filter that removes impurities from the oil used to lubricate an internal-combustion engine is the definition of octopoda. . 
13) RS: 0.17	Context: a dance involving a rhythmical stamping step is the definition of signor. . 
14) RS: 0.17	Context: the quality of being holy is the definition of coneflower. . 
15) RS: 0.17	Context: a truck equipped with a loudspeaker and used for advertising is the definition of butternut. . 
16) RS: 0.17	Context: the position of student is the definition of redfish. . 
17) RS: 0.17	Context: (medicine) any disturbance in the functioning of an organ or body part or a disturbance in the functioning of a social group is the definition of roadrunner. . 
18) RS: 0.00	Context: male salmon that has recently spawned is the definition of studentship. . 
19) RS: 0.00	Context: flow into something (as a container) is the definition of acinos. . 
20) RS: 0.00	Context: used as an Italian courtesy title; can be prefixed to the name or used separately is the definition of stomp. . 
